DEBUG: Starting main...
DEBUG: Loading tokens...
DEBUG: Loaded tokens from data/tinystories/train_tokens.npy, shape=(64064,)
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=61888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45600.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51552.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43904.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49792.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41600.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46368.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52288.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44096.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42816.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58880.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45376.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48384.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
DEBUG: matmul_with_noise: delta_mean=0.0000, scale=0.000244, max_delta=0.0
step 0000 | loss 9.2103 | reward nan | update_rate 0.0% | fwd 3.200s | upd 0.048s
step 0: loss=9.2103, logits_max=0.0, reward_mean=nan, reward_std=nan
  reward_range=[nan, nan], update_rate=0.0000% (0/6084624)
  update_threshold=32
  TIMING: Batch=0.000s, Forward=3.200s (8 chunks, 0.400s/chunk), Concat=0.001s, Update=0.048s, Log=0.091s, Total=3.340s
